OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order
ASV3	Indv39	0.0577680329335959	Indv39	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV9	Indv86	0.0568534125147373	Indv86	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV4	Indv132	0.0567277887739478	Indv132	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV4	Indv68	0.0563748703377982	Indv68	Case	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV46	Indv93	0.0562511857332574	Indv93	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV46	Indv151	0.0555338940567036	Indv151	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV4	Indv16	0.0553457106274008	Indv16	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV2	Indv52	0.0552475088396014	Indv52	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV9	Indv89	0.0550920245398773	Indv89	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV9	Indv150	0.0550533314200985	Indv150	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV9	Indv127	0.0550371958138948	Indv127	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV9	Indv144	0.0549994438883328	Indv144	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV17	Indv78	0.0549384283356608	Indv78	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV59	Indv65	0.0547880104552089	Indv65	Case	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
ASV17	Indv50	0.0544036461676724	Indv50	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV13	Indv76	0.0542622722848004	Indv76	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV9	Indv91	0.0542441209406495	Indv91	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV19	Indv2	0.0541989958922866	Indv2	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv107	0.0537167983837423	Indv107	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv72	0.0535889373499679	Indv72	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV125	Indv100	0.0535714285714286	Indv100	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales
ASV13	Indv4	0.053529728758757	Indv4	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV4	Indv108	0.0533841754051478	Indv108	Case	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV17	Indv27	0.0532927293490674	Indv27	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV3	Indv32	0.0530882876468494	Indv32	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV9	Indv155	0.0529955872369314	Indv155	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV59	Indv114	0.0529807646413059	Indv114	Control	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
ASV2	Indv18	0.0529665666837369	Indv18	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV19	Indv1	0.0527843203230148	Indv1	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV17	Indv121	0.0527305282005372	Indv121	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv62	0.0527296841954332	Indv62	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV9	Indv26	0.0526675786593707	Indv26	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv61	0.0526634382566586	Indv61	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV9	Indv79	0.0524860319431119	Indv79	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv109	0.0524859046642747	Indv109	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV9	Indv34	0.0524689190138372	Indv34	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv159	0.0524101454501743	Indv159	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv66	0.0522825308060867	Indv66	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv3	0.0521809697707446	Indv3	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV19	Indv59	0.0521473832433701	Indv59	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV19	Indv37	0.0520345899000487	Indv37	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV9	Indv38	0.0517769458894453	Indv38	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV13	Indv48	0.051688779140334	Indv48	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV2	Indv43	0.0516532132877988	Indv43	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv11	0.0515258645211102	Indv11	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv101	0.0511574647189898	Indv101	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV19	Indv43	0.0511487115802546	Indv43	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
