OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order
ASV46	Indv159	0.0332972713066474	Indv159	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV2	Indv10	0.0329856467861282	Indv10	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv28	0.0328440216499918	Indv28	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV17	Indv47	0.0328207642999755	Indv47	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV125	Indv111	0.0327362569487338	Indv111	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales
ASV2	Indv100	0.032452454666077	Indv100	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV19	Indv51	0.0322302069518552	Indv51	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV19	Indv90	0.0320808951852993	Indv90	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV50	Indv159	0.0319148936170213	Indv159	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales
ASV2	Indv78	0.0318649231941094	Indv78	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv25	0.0318420575982612	Indv25	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv138	0.0317383076507164	Indv138	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV13	Indv44	0.0315278900565885	Indv44	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV50	Indv72	0.0314771613077729	Indv72	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales
ASV2	Indv142	0.0314453250853792	Indv142	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV46	Indv77	0.0313460693895476	Indv77	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
