OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family	Genus
ASV21	Indv49	0.0099009900990099	Indv49	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV59	Indv62	0.00989353693945585	Indv62	Control	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV137	Indv126	0.00988533017002768	Indv126	Control	Site1	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	<1%_Abundance
ASV46	Indv88	0.00985100960595961	Indv88	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV18	Indv147	0.009837638966648	Indv147	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV125	Indv135	0.00982194442985451	Indv135	Control	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	<1%_Abundance
ASV11	Indv145	0.00981001420454545	Indv145	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV9	Indv56	0.00978058040023165	Indv56	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV41	Indv151	0.00974767448337325	Indv151	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV46	Indv6	0.00974236847802555	Indv6	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV41	Indv109	0.0096873398257304	Indv109	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV24	Indv113	0.00968228200371058	Indv113	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV9	Indv84	0.00967096891474277	Indv84	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV24	Indv92	0.00962753474938324	Indv92	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV3	Indv97	0.0096234309623431	Indv97	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	<1%_Abundance
ASV2	Indv140	0.00960122518701773	Indv140	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	<1%_Abundance
ASV44	Indv22	0.0095804858908544	Indv22	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	<1%_Abundance
ASV35	Indv70	0.00957892636200359	Indv70	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	<1%_Abundance
ASV2	Indv150	0.00956617400870522	Indv150	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	<1%_Abundance
