OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family	Genus
ASV21	Indv141	0.00744328922495274	Indv141	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV21	Indv33	0.00743545928970581	Indv33	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV59	Indv82	0.007428960564601	Indv82	Case	Site1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV11	Indv78	0.0074266852862765	Indv78	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV44	Indv86	0.00742325662634819	Indv86	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	<1%_Abundance
ASV18	Indv125	0.00741632860040568	Indv125	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV32	Indv125	0.00741632860040568	Indv125	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV46	Indv17	0.00738294151933165	Indv17	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV33	Indv135	0.00735332738063974	Indv135	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	<1%_Abundance
ASV46	Indv136	0.00735026120762969	Indv136	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV46	Indv37	0.00733725152547449	Indv37	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV21	Indv134	0.0073362003541614	Indv134	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
