OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family
ASV46	Indv80	0.0291062429291371	Indv80	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV19	Indv83	0.0290162326361421	Indv83	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV21	Indv64	0.028988988988989	Indv64	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV2	Indv98	0.0288407765439003	Indv98	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV21	Indv105	0.0287571892973243	Indv105	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV46	Indv159	0.0287294145931001	Indv159	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV4	Indv45	0.0284852935492598	Indv45	Case	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV21	Indv71	0.02847425738992	Indv71	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV17	Indv141	0.0284735349716446	Indv141	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV13	Indv22	0.028447176535984	Indv22	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV2	Indv92	0.0284012275106805	Indv92	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV21	Indv72	0.0282652060722859	Indv72	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV17	Indv28	0.0282515991471215	Indv28	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV21	Indv8	0.0282268196666387	Indv8	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
