OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV124	Indv104	0	Indv104	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv31	0	Indv31	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv114	0	Indv114	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv153	0	Indv153	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv55	0	Indv55	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv48	0	Indv48	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv107	0	Indv107	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv130	0	Indv130	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv32	0	Indv32	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv56	0	Indv56	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv115	0	Indv115	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv154	0	Indv154	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv147	0	Indv147	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv49	0	Indv49	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv146	0	Indv146	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv131	0	Indv131	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv155	0	Indv155	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv33	0	Indv33	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv108	0	Indv108	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv148	0	Indv148	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv57	0	Indv57	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv100	0	Indv100	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv109	0	Indv109	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv132	0	Indv132	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
