Group	Class	Mean_Abundance	SE_Abundance	Prevalence
Case	<1%_Abundance	0.12491593671328	0.00956795590103087	262
Case	Absconditabacteria_(SR1)_[C-1]	1.3899232905669	0.219110725075425	5
Case	Actinobacteria	3.93483406033047	0.565093806150966	68
Case	Bacilli	34.9781775581602	1.49109609473314	84
Case	Bacteroidia	12.7392500002392	0.728517898125508	81
Case	Betaproteobacteria	8.79183412000719	0.636051567003065	75
Case	Clostridia	2.08547218045596	0.305110941878868	12
Case	Epsilonproteobacteria	2.16354481838447	0.407438025670098	13
Case	Flavobacteriia	6.84351013078255	0.785471113207733	77
Case	Fusobacteriia	8.23489736472785	0.706405852239212	69
Case	Gammaproteobacteria	13.8686964850544	0.831145053164259	81
Case	Negativicutes	14.125525008386	0.748896936012232	82
Control	<1%_Abundance	0.140845905647398	0.0110134148883524	246
Control	Absconditabacteria_(SR1)_[C-1]	2.36157914261525	0.424428905852445	2
Control	Actinobacteria	2.89759704043241	0.311113826145713	53
Control	Bacilli	29.1998025842609	1.33921978298042	77
Control	Bacteroidia	14.036881667329	0.610432256227246	76
Control	Betaproteobacteria	10.3687381561035	0.60750160255618	76
Control	Clostridia	2.13747112324469	0.277087103843007	17
Control	Epsilonproteobacteria	1.8401130200862	0.401180490909175	10
Control	Flavobacteriia	5.58193676434428	0.412842345523262	73
Control	Fusobacteriia	11.9369108515979	0.751864932120469	69
Control	Gammaproteobacteria	15.9123421399025	0.756654626332646	75
Control	Negativicutes	11.742622386578	0.674185247095691	76
