OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum
ASV13	Indv54	0.308584686774942	Indv54	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv40	0.308180088776157	Indv40	Control	Site1	Bacteria	Proteobacteria
ASV1	Indv149	0.30640415173078	Indv149	Case	Site2	Bacteria	Firmicutes
ASV3	Indv54	0.302959994375308	Indv54	Control	Site1	Bacteria	Proteobacteria
ASV1	Indv152	0.302456662767202	Indv152	Case	Site1	Bacteria	Firmicutes
ASV3	Indv8	0.301113996147081	Indv8	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv139	0.300973654066438	Indv139	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv6	0.300028866276972	Indv6	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv50	0.299974322762871	Indv50	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv99	0.296812304948729	Indv99	Control	Site1	Bacteria	Proteobacteria
ASV1	Indv8	0.296591004271715	Indv8	Case	Site1	Bacteria	Firmicutes
ASV1	Indv18	0.296473772770503	Indv18	Control	Site1	Bacteria	Firmicutes
ASV3	Indv135	0.296339093439781	Indv135	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv23	0.295207199665132	Indv23	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv157	0.295050145583953	Indv157	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv66	0.292815894114176	Indv66	Control	Site2	Bacteria	Proteobacteria
ASV1	Indv24	0.292355371900826	Indv24	Control	Site1	Bacteria	Firmicutes
ASV13	Indv57	0.29093324476918	Indv57	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv84	0.289874568260316	Indv84	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv13	0.288090614886731	Indv13	Case	Site1	Bacteria	Proteobacteria
ASV1	Indv15	0.287836944260765	Indv15	Control	Site1	Bacteria	Firmicutes
ASV1	Indv139	0.287743413516609	Indv139	Control	Site1	Bacteria	Firmicutes
ASV13	Indv21	0.287522099190472	Indv21	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv146	0.286663139951802	Indv146	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv88	0.286414428543423	Indv88	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv100	0.285880141530296	Indv100	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv77	0.2838713219148	Indv77	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv146	0.283430317992124	Indv146	Case	Site2	Bacteria	Proteobacteria
ASV1	Indv124	0.282646140596404	Indv124	Case	Site1	Bacteria	Firmicutes
ASV13	Indv5	0.279917291289739	Indv5	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv105	0.279736600816871	Indv105	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv95	0.279057835820896	Indv95	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv155	0.278598099117447	Indv155	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv72	0.278155323393177	Indv72	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv94	0.277385159010601	Indv94	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv14	0.276044075635968	Indv14	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv122	0.275653498012012	Indv122	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv79	0.275579885998081	Indv79	Case	Site2	Bacteria	Proteobacteria
ASV3	Indv67	0.275540420491561	Indv67	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv97	0.275523012552301	Indv97	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv59	0.274348744426191	Indv59	Control	Site2	Bacteria	Bacteroidetes
ASV1	Indv98	0.273348246384917	Indv98	Control	Site1	Bacteria	Firmicutes
ASV13	Indv144	0.272383494605717	Indv144	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv7	0.271311038317971	Indv7	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv25	0.270530700959971	Indv25	Case	Site1	Bacteria	Bacteroidetes
ASV1	Indv27	0.270003806623525	Indv27	Control	Site1	Bacteria	Firmicutes
ASV3	Indv5	0.269794089773413	Indv5	Control	Site2	Bacteria	Proteobacteria
ASV1	Indv25	0.269661293243978	Indv25	Case	Site1	Bacteria	Firmicutes
ASV3	Indv18	0.268856536688858	Indv18	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv118	0.268839005551533	Indv118	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv32	0.268066927732289	Indv32	Control	Site2	Bacteria	Bacteroidetes
ASV1	Indv66	0.267777606047407	Indv66	Control	Site2	Bacteria	Firmicutes
ASV1	Indv148	0.26658802713064	Indv148	Case	Site2	Bacteria	Firmicutes
ASV3	Indv102	0.265681208712146	Indv102	Control	Site1	Bacteria	Proteobacteria
ASV1	Indv129	0.262539068313737	Indv129	Case	Site2	Bacteria	Firmicutes
ASV46	Indv12	0.261539202002214	Indv12	Case	Site1	Bacteria	Actinobacteria
ASV1	Indv5	0.260230895149479	Indv5	Control	Site2	Bacteria	Firmicutes
ASV3	Indv42	0.259720062208398	Indv42	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv24	0.259629574970484	Indv24	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv49	0.259134842055634	Indv49	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv47	0.257276962415496	Indv47	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv39	0.256890996957222	Indv39	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv36	0.25613026290327	Indv36	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv111	0.252063563366837	Indv111	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv17	0.251505731494074	Indv17	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv120	0.251324819737642	Indv120	Control	Site2	Bacteria	Proteobacteria
ASV1	Indv157	0.250681702638998	Indv157	Control	Site1	Bacteria	Firmicutes
ASV3	Indv19	0.249992578298946	Indv19	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv134	0.24635298085842	Indv134	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv51	0.245874841933196	Indv51	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv89	0.244948875255624	Indv89	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv86	0.244137810575957	Indv86	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv143	0.243036912751678	Indv143	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv29	0.242387964404007	Indv29	Control	Site2	Bacteria	Bacteroidetes
ASV19	Indv153	0.242201294879341	Indv153	Case	Site1	Bacteria	Fusobacteria
ASV1	Indv10	0.242177052687884	Indv10	Case	Site1	Bacteria	Firmicutes
ASV3	Indv75	0.240973630831643	Indv75	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv110	0.239749082007344	Indv110	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv77	0.239350021958718	Indv77	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv133	0.23915414444983	Indv133	Case	Site1	Bacteria	Proteobacteria
ASV46	Indv117	0.238890607279101	Indv117	Case	Site1	Bacteria	Actinobacteria
ASV1	Indv132	0.238413563879449	Indv132	Control	Site1	Bacteria	Firmicutes
ASV3	Indv159	0.23752854910446	Indv159	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv34	0.237269087588677	Indv34	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv103	0.237216276304224	Indv103	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv98	0.237077574498682	Indv98	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv132	0.236770362624641	Indv132	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv78	0.236447886251111	Indv78	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv80	0.236415372484487	Indv80	Case	Site1	Bacteria	Bacteroidetes
ASV19	Indv150	0.235806189314584	Indv150	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv98	0.235599584564992	Indv98	Control	Site1	Bacteria	Bacteroidetes
ASV19	Indv56	0.235313042918731	Indv56	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv66	0.235123856626997	Indv66	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv93	0.235059760956175	Indv93	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv81	0.234402676638457	Indv81	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv25	0.234377830103242	Indv25	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv107	0.23411967437162	Indv107	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv10	0.233841490594633	Indv10	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv18	0.233374789670056	Indv18	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv14	0.232158889946946	Indv14	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv110	0.231793145654835	Indv110	Case	Site1	Bacteria	Bacteroidetes
ASV19	Indv98	0.23092594072062	Indv98	Control	Site1	Bacteria	Fusobacteria
ASV3	Indv82	0.230793041540271	Indv82	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv3	0.230269831608846	Indv3	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv134	0.230120583523063	Indv134	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv31	0.229204439923938	Indv31	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv51	0.228880732813126	Indv51	Case	Site2	Bacteria	Proteobacteria
ASV3	Indv101	0.228738549145828	Indv101	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv90	0.228467303151627	Indv90	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv30	0.22842496355171	Indv30	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv121	0.227618621307073	Indv121	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv105	0.227556889222306	Indv105	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv31	0.227479768274886	Indv31	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv42	0.227406255400035	Indv42	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv106	0.227107558139535	Indv106	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv145	0.226740056818182	Indv145	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv106	0.225436046511628	Indv106	Case	Site2	Bacteria	Proteobacteria
ASV3	Indv71	0.22529758674337	Indv71	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv112	0.225287547924654	Indv112	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv58	0.224758739321846	Indv58	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv82	0.224447471058008	Indv82	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv145	0.224431818181818	Indv145	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv2	0.224402860185608	Indv2	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv16	0.223687580025608	Indv16	Control	Site1	Bacteria	Bacteroidetes
