OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum
ASV13	Indv137	0.16220866572814	Indv137	Case	Site2	Bacteria	Bacteroidetes
ASV19	Indv64	0.161761761761762	Indv64	Case	Site2	Bacteria	Fusobacteria
ASV13	Indv50	0.161445628450379	Indv50	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv7	0.16127066351794	Indv7	Case	Site1	Bacteria	Bacteroidetes
ASV19	Indv10	0.161005616474993	Indv10	Case	Site1	Bacteria	Fusobacteria
ASV19	Indv152	0.160445247970506	Indv152	Case	Site1	Bacteria	Fusobacteria
ASV3	Indv158	0.160174258765808	Indv158	Case	Site1	Bacteria	Proteobacteria
ASV19	Indv124	0.158682312412531	Indv124	Case	Site1	Bacteria	Fusobacteria
ASV19	Indv110	0.158200734394125	Indv110	Case	Site1	Bacteria	Fusobacteria
ASV19	Indv5	0.157534246575342	Indv5	Control	Site2	Bacteria	Fusobacteria
