ta1	ta2	ta3	ta4	ta5	ta6	ta7
Unclassified Scardovia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Scardovia	s_Unclassified Scardovia
Unclassified Bifidobacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Unclassified Bifidobacteriaceae	s_Unclassified Bifidobacteriaceae
Unclassified Bifidobacteriales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Unclassified Bifidobacteriales	g_Unclassified Bifidobacteriales	s_Unclassified Bifidobacteriales
Corynebacterium diphtheriae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium diphtheriae
Corynebacterium durum	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium durum
Corynebacterium lowii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium lowii
Corynebacterium matruchotii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium matruchotii
Corynebacterium sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium sp.
Unclassified Corynebacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Unclassified Corynebacterium
Unclassified Corynebacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Unclassified Corynebacteriaceae	s_Unclassified Corynebacteriaceae
Unclassified Dietzia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Dietziaceae	g_Dietzia	s_Unclassified Dietzia
Unclassified Dietziaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Dietziaceae	g_Unclassified Dietziaceae	s_Unclassified Dietziaceae
Mycobacterium sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Mycobacterium sp.
Mycobacterium tuberculosis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Mycobacterium tuberculosis
Unclassified Mycobacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Unclassified Mycobacterium
Mycobacteroides abscessus	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacteroides	s_Mycobacteroides abscessus
Unclassified Mycobacteroides	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacteroides	s_Unclassified Mycobacteroides
Unclassified Corynebacteriales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Unclassified Corynebacteriales	g_Unclassified Corynebacteriales	s_Unclassified Corynebacteriales
Brevibacterium paucivorans	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Brevibacteriaceae	g_Brevibacterium	s_Brevibacterium paucivorans
Unclassified Brevibacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Brevibacteriaceae	g_Brevibacterium	s_Unclassified Brevibacterium
Cellulomonas flavigena	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Cellulomonadaceae	g_Cellulomonas	s_Cellulomonas flavigena
Unclassified Cellulomonas	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Cellulomonadaceae	g_Cellulomonas	s_Unclassified Cellulomonas
Dermabacter vaginalis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Dermabacteraceae	g_Dermabacter	s_Dermabacter vaginalis
Dermatophilus congolensis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Dermatophilaceae	g_Dermatophilus	s_Dermatophilus congolensis
Tetrasphaera australiensis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Intrasporangiaceae	g_Tetrasphaera	s_Tetrasphaera australiensis
Kytococcus sedentarius	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Kytococcaceae	g_Kytococcus	s_Kytococcus sedentarius
Unclassified Kytococcus	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Kytococcaceae	g_Kytococcus	s_Unclassified Kytococcus
Unclassified Canibacter	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Microbacteriaceae	g_Canibacter	s_Unclassified Canibacter
Unclassified Herbiconiux	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Microbacteriaceae	g_Herbiconiux	s_Unclassified Herbiconiux
Unclassified Leucobacter	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Microbacteriaceae	g_Leucobacter	s_Unclassified Leucobacter
Unclassified Plantibacter	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Microbacteriaceae	g_Plantibacter	s_Unclassified Plantibacter
Unclassified Microbacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Microbacteriaceae	g_Unclassified Microbacteriaceae	s_Unclassified Microbacteriaceae
Kocuria rhizophila	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Kocuria	s_Kocuria rhizophila
