ta1	ta2	ta3	ta4	ta5	ta6	ta7
Prevotella loescheii	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella loescheii
Prevotella maculosa	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella maculosa
Prevotella melaninogenica	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella melaninogenica
Prevotella micans	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella micans
Prevotella multiformis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella multiformis
Prevotella multisaccharivorax	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella multisaccharivorax
Prevotella nanceiensis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella nanceiensis
Prevotella nigrescens	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella nigrescens
Prevotella oralis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella oralis
Prevotella oris	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella oris
Prevotella oulorum	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella oulorum
Prevotella pallens	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella pallens
Prevotella pleuritidis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella pleuritidis
Prevotella saccharolytica	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella saccharolytica
Prevotella salivae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella salivae
Prevotella scopos	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella scopos
Prevotella shahii	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella shahii
Prevotella sp.	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella sp.
Prevotella timonensis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella timonensis
Prevotella veroralis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella veroralis
Unclassified Prevotella	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Unclassified Prevotella
Prevotellaceae bacterium	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotellaceae bacterium (no genus in NCBI)	s_Prevotellaceae bacterium
Prevotellamassilia timonensis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotellamassilia	s_Prevotellamassilia timonensis
Unclassified Prevotellaceae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Unclassified Prevotellaceae	s_Unclassified Prevotellaceae
Unclassified Alistipes	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Rikenellaceae	g_Alistipes	s_Unclassified Alistipes
Tannerella forsythia	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Tannerellaceae	g_Tannerella	s_Tannerella forsythia
Tannerella sp.	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Tannerellaceae	g_Tannerella	s_Tannerella sp.
Unclassified Tannerella	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Tannerellaceae	g_Tannerella	s_Unclassified Tannerella
Unclassified Tannerellaceae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Tannerellaceae	g_Unclassified Tannerellaceae	s_Unclassified Tannerellaceae
Unclassified Bacteroidales	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Unclassified Bacteroidales	g_Unclassified Bacteroidales	s_Unclassified Bacteroidales
Bacteroidia bacterium	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidia bacterium (no order in NCBI)	f_Bacteroidia bacterium (no family in NCBI)	g_Bacteroidia bacterium (no genus in NCBI)	s_Bacteroidia bacterium
Unclassified Bacteroidia	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Unclassified Bacteroidia	f_Unclassified Bacteroidia	g_Unclassified Bacteroidia	s_Unclassified Bacteroidia
Capnocytophaga bilenii	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga bilenii
Capnocytophaga canimorsus	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga canimorsus
Capnocytophaga cynodegmi	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga cynodegmi
Capnocytophaga endodontalis	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga endodontalis
Capnocytophaga genosp.	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga genosp.
Capnocytophaga gingivalis	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga gingivalis
Capnocytophaga granulosa	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga granulosa
Capnocytophaga haemolytica	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga haemolytica
Capnocytophaga leadbetteri	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga leadbetteri
Capnocytophaga ochracea	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga ochracea
Capnocytophaga periodontitidis	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga periodontitidis
Capnocytophaga sp.	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga sp.
Capnocytophaga sputigena	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Capnocytophaga sputigena
Unclassified Capnocytophaga	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_Unclassified Capnocytophaga
Flavobacteriaceae bacterium	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Flavobacteriaceae bacterium (no genus in NCBI)	s_Flavobacteriaceae bacterium
Unclassified Flavobacterium	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Flavobacterium	s_Unclassified Flavobacterium
Unclassified Flavobacteriaceae	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Unclassified Flavobacteriaceae	s_Unclassified Flavobacteriaceae
Unclassified Flavobacteriales	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Unclassified Flavobacteriales	g_Unclassified Flavobacteriales	s_Unclassified Flavobacteriales
Unclassified Apibacter	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Apibacter	s_Unclassified Apibacter
Bergeyella cardium	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Bergeyella	s_Bergeyella cardium
Bergeyella zoohelcum	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Bergeyella	s_Bergeyella zoohelcum
Unclassified Bergeyella	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Bergeyella	s_Unclassified Bergeyella
Unclassified Chryseobacterium	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Chryseobacterium	s_Unclassified Chryseobacterium
Unclassified Elizabethkingia	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Elizabethkingia	s_Unclassified Elizabethkingia
Unclassified Kaistella	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Kaistella	s_Unclassified Kaistella
Candidatus Ornithobacterium hominis	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Ornithobacterium	s_Candidatus Ornithobacterium hominis
Unclassified Ornithobacterium	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Ornithobacterium	s_Unclassified Ornithobacterium
Riemerella anatipestifer	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Riemerella	s_Riemerella anatipestifer
Riemerella sp.	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Riemerella	s_Riemerella sp.
Unclassified Riemerella	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Riemerella	s_Unclassified Riemerella
Unclassified Weeksellaceae	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Weeksellaceae	g_Unclassified Weeksellaceae	s_Unclassified Weeksellaceae
Unclassified Flavobacteriia	k_Bacteria	p_Bacteroidetes	c_Flavobacteriia	o_Unclassified Flavobacteriia	f_Unclassified Flavobacteriia	g_Unclassified Flavobacteriia	s_Unclassified Flavobacteriia
Unclassified Sphingobacterium	k_Bacteria	p_Bacteroidetes	c_Sphingobacteriia	o_Sphingobacteriales	f_Sphingobacteriaceae	g_Sphingobacterium	s_Unclassified Sphingobacterium
Unclassified Bacteroidetes	k_Bacteria	p_Bacteroidetes	c_Unclassified Bacteroidetes	o_Unclassified Bacteroidetes	f_Unclassified Bacteroidetes	g_Unclassified Bacteroidetes	s_Unclassified Bacteroidetes
SR1 bacterium	k_Bacteria	p_Candidatus Absconditabacteria	c_SR1 bacterium (no class in NCBI)	o_SR1 bacterium (no order in NCBI)	f_SR1 bacterium (no family in NCBI)	g_SR1 bacterium (no genus in NCBI)	s_SR1 bacterium
Unclassified Candidatus Absconditabacteria	k_Bacteria	p_Candidatus Absconditabacteria	c_Unclassified Candidatus Absconditabacteria	o_Unclassified Candidatus Absconditabacteria	f_Unclassified Candidatus Absconditabacteria	g_Unclassified Candidatus Absconditabacteria	s_Unclassified Candidatus Absconditabacteria
Candidatus Gracilibacteria bacterium	k_Bacteria	p_Candidatus Gracilibacteria	c_Candidatus Gracilibacteria bacterium (no class in NCBI)	o_Candidatus Gracilibacteria bacterium (no order in NCBI)	f_Candidatus Gracilibacteria bacterium (no family in NCBI)	g_Candidatus Gracilibacteria bacterium (no genus in NCBI)	s_Candidatus Gracilibacteria bacterium
Unclassified Candidatus Gracilibacteria	k_Bacteria	p_Candidatus Gracilibacteria	c_Unclassified Candidatus Gracilibacteria	o_Unclassified Candidatus Gracilibacteria	f_Unclassified Candidatus Gracilibacteria	g_Unclassified Candidatus Gracilibacteria	s_Unclassified Candidatus Gracilibacteria
Candidatus Nanoperiomorbus periodonticus	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanoperiomorbia	o_Candidatus Nanoperiomorbales	f_Candidatus Nanoperiomorbaceae	g_Candidatus Nanoperiomorbus	s_Candidatus Nanoperiomorbus periodonticus
Unclassified Candidatus Nanoperiomorbus	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanoperiomorbia	o_Candidatus Nanoperiomorbales	f_Candidatus Nanoperiomorbaceae	g_Candidatus Nanoperiomorbus	s_Unclassified Candidatus Nanoperiomorbus
Candidatus Nanogingivalaceae bacterium	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanosyncoccalia	o_Candidatus Nanogingivales	f_Candidatus Nanogingivalaceae	g_Candidatus Nanogingivalaceae bacterium (no genus in NCBI)	s_Candidatus Nanogingivalaceae bacterium
Unclassified Candidatus Nanogingivalaceae	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanosyncoccalia	o_Candidatus Nanogingivales	f_Candidatus Nanogingivalaceae	g_Unclassified Candidatus Nanogingivalaceae	s_Unclassified Candidatus Nanogingivalaceae
Unclassified Candidatus Nanogingivales	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanosyncoccalia	o_Candidatus Nanogingivales	f_Unclassified Candidatus Nanogingivales	g_Unclassified Candidatus Nanogingivales	s_Unclassified Candidatus Nanogingivales
Candidatus Nanosyncoccus nanoralicus	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanosyncoccalia	o_Candidatus Nanosyncoccales	f_Candidatus Nanosyncoccacae	g_Candidatus Nanosyncoccus	s_Candidatus Nanosyncoccus nanoralicus
Unclassified Candidatus Nanosyncoccalia	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Nanosyncoccalia	o_Unclassified Candidatus Nanosyncoccalia	f_Unclassified Candidatus Nanosyncoccalia	g_Unclassified Candidatus Nanosyncoccalia	s_Unclassified Candidatus Nanosyncoccalia
Candidatus Saccharibacteria bacterium	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharibacteria bacterium (no class in NCBI)	o_Candidatus Saccharibacteria bacterium (no order in NCBI)	f_Candidatus Saccharibacteria bacterium (no family in NCBI)	g_Candidatus Saccharibacteria bacterium (no genus in NCBI)	s_Candidatus Saccharibacteria bacterium
Candidatus Saccharimonas sp.	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonas (no class in NCBI)	o_Candidatus Saccharimonas (no order in NCBI)	f_Candidatus Saccharimonas (no family in NCBI)	g_Candidatus Saccharimonas	s_Candidatus Saccharimonas sp.
Unclassified Candidatus Saccharimonas	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonas (no class in NCBI)	o_Candidatus Saccharimonas (no order in NCBI)	f_Candidatus Saccharimonas (no family in NCBI)	g_Candidatus Saccharimonas	s_Unclassified Candidatus Saccharimonas
Candidatus Nanosynbacter sp.	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Candidatus Nanosynbacterales	f_Candidatus Nanosynbacteraceae	g_Candidatus Nanosynbacter	s_Candidatus Nanosynbacter sp.
Unclassified Candidatus Nanosynbacter	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Candidatus Nanosynbacterales	f_Candidatus Nanosynbacteraceae	g_Candidatus Nanosynbacter	s_Unclassified Candidatus Nanosynbacter
Unclassified Candidatus Nanosynbacteraceae	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Candidatus Nanosynbacterales	f_Candidatus Nanosynbacteraceae	g_Unclassified Candidatus Nanosynbacteraceae	s_Unclassified Candidatus Nanosynbacteraceae
Unclassified Candidatus Nanosynbacterales	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Candidatus Nanosynbacterales	f_Unclassified Candidatus Nanosynbacterales	g_Unclassified Candidatus Nanosynbacterales	s_Unclassified Candidatus Nanosynbacterales
Candidatus Nanosynsacchari sp.	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Candidatus Saccharimonales	f_Candidatus Sacchiramonaceae	g_Candidatus Nanosynsacchari	s_Candidatus Nanosynsacchari sp.
Unclassified Candidatus Saccharimonia	k_Bacteria	p_Candidatus Saccharibacteria	c_Candidatus Saccharimonia	o_Unclassified Candidatus Saccharimonia	f_Unclassified Candidatus Saccharimonia	g_Unclassified Candidatus Saccharimonia	s_Unclassified Candidatus Saccharimonia
TM7 phylum	k_Bacteria	p_Candidatus Saccharibacteria	c_TM7 phylum (no class in NCBI)	o_TM7 phylum (no order in NCBI)	f_TM7 phylum (no family in NCBI)	g_TM7 phylum (no genus in NCBI)	s_TM7 phylum
Unclassified Candidatus Saccharibacteria	k_Bacteria	p_Candidatus Saccharibacteria	c_Unclassified Candidatus Saccharibacteria	o_Unclassified Candidatus Saccharibacteria	f_Unclassified Candidatus Saccharibacteria	g_Unclassified Candidatus Saccharibacteria	s_Unclassified Candidatus Saccharibacteria
Unclassified Candidatus Sumerlaeota	k_Bacteria	p_Candidatus Sumerlaeota	c_Unclassified Candidatus Sumerlaeota	o_Unclassified Candidatus Sumerlaeota	f_Unclassified Candidatus Sumerlaeota	g_Unclassified Candidatus Sumerlaeota	s_Unclassified Candidatus Sumerlaeota
candidate division	k_Bacteria	p_Candidatus Sumerlaeota	c_candidate division (no class in NCBI)	o_candidate division (no order in NCBI)	f_candidate division (no family in NCBI)	g_candidate division (no genus in NCBI)	s_candidate division
Chlamydia trachomatis	k_Bacteria	p_Chlamydiae	c_Chlamydiia	o_Chlamydiales	f_Chlamydiaceae	g_Chlamydia	s_Chlamydia trachomatis
Unclassified Chlamydiia	k_Bacteria	p_Chlamydiae	c_Chlamydiia	o_Unclassified Chlamydiia	f_Unclassified Chlamydiia	g_Unclassified Chlamydiia	s_Unclassified Chlamydiia
Unclassified Chloroflexi	k_Bacteria	p_Chloroflexi	c_Unclassified Chloroflexi	o_Unclassified Chloroflexi	f_Unclassified Chloroflexi	g_Unclassified Chloroflexi	s_Unclassified Chloroflexi
Unclassified Cuspidothrix	k_Bacteria	p_Cyanobacteria	c_Nostocales (no class in NCBI)	o_Nostocales	f_Aphanizomenonaceae	g_Cuspidothrix	s_Unclassified Cuspidothrix
Unclassified Cyanobacteria	k_Bacteria	p_Cyanobacteria	c_Unclassified Cyanobacteria	o_Unclassified Cyanobacteria	f_Unclassified Cyanobacteria	g_Unclassified Cyanobacteria	s_Unclassified Cyanobacteria
Bacillus subtilis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Bacillaceae	g_Bacillus	s_Bacillus subtilis
Unclassified Bacillaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Bacillaceae	g_Unclassified Bacillaceae	s_Unclassified Bacillaceae
Gemella asaccharolytica	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella asaccharolytica
Gemella cuniculi	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella cuniculi
Gemella haemolysans	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella haemolysans
Gemella morbillorum	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella morbillorum
Gemella sanguinis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella sanguinis
Gemella sp.	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Gemella sp.
Unclassified Gemella	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Gemella (no family in NCBI)	g_Gemella	s_Unclassified Gemella
Listeria monocytogenes	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Listeriaceae	g_Listeria	s_Listeria monocytogenes
Unclassified Listeria	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Listeriaceae	g_Listeria	s_Unclassified Listeria
Unclassified Listeriaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Listeriaceae	g_Unclassified Listeriaceae	s_Unclassified Listeriaceae
Unclassified Paenibacillaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Paenibacillaceae	g_Unclassified Paenibacillaceae	s_Unclassified Paenibacillaceae
Unclassified Salinicoccus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Salinicoccus	s_Unclassified Salinicoccus
Staphylococcus aureus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_Staphylococcus aureus
Staphylococcus capitis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_Staphylococcus capitis
Staphylococcus hominis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_Staphylococcus hominis
Staphylococcus simulans	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_Staphylococcus simulans
Unclassified Staphylococcus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_Unclassified Staphylococcus
[Staphylococcus] sp.	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Staphylococcus	s_[Staphylococcus] sp.
Unclassified Staphylococcaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Staphylococcaceae	g_Unclassified Staphylococcaceae	s_Unclassified Staphylococcaceae
Unclassified Bacillales	k_Bacteria	p_Firmicutes	c_Bacilli	o_Bacillales	f_Unclassified Bacillales	g_Unclassified Bacillales	s_Unclassified Bacillales
Abiotrophia defectiva	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Abiotrophia	s_Abiotrophia defectiva
Abiotrophia sp.	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Abiotrophia	s_Abiotrophia sp.
Unclassified Abiotrophia	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Abiotrophia	s_Unclassified Abiotrophia
Unclassified Aerococcaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Unclassified Aerococcaceae	s_Unclassified Aerococcaceae
Granulicatella adiacens	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Granulicatella	s_Granulicatella adiacens
Granulicatella elegans	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Granulicatella	s_Granulicatella elegans
Granulicatella sp.	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Granulicatella	s_Granulicatella sp.
Unclassified Granulicatella	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Granulicatella	s_Unclassified Granulicatella
Unclassified Carnobacteriaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Carnobacteriaceae	g_Unclassified Carnobacteriaceae	s_Unclassified Carnobacteriaceae
Enterococcus malodoratus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Enterococcaceae	g_Enterococcus	s_Enterococcus malodoratus
Unclassified Enterococcus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Enterococcaceae	g_Enterococcus	s_Unclassified Enterococcus
Unclassified Enterococcaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Enterococcaceae	g_Unclassified Enterococcaceae	s_Unclassified Enterococcaceae
Lacticaseibacillus paracasei	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lacticaseibacillus	s_Lacticaseibacillus paracasei
Unclassified Lacticaseibacillus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lacticaseibacillus	s_Unclassified Lacticaseibacillus
Unclassified Lactiplantibacillus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactiplantibacillus	s_Unclassified Lactiplantibacillus
Unclassified Lactobacillus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_Unclassified Lactobacillus
Unclassified Levilactobacillus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Levilactobacillus	s_Unclassified Levilactobacillus
Limosilactobacillus fermentum	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Limosilactobacillus	s_Limosilactobacillus fermentum
Limosilactobacillus reuteri	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Limosilactobacillus	s_Limosilactobacillus reuteri
Unclassified Limosilactobacillus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Limosilactobacillus	s_Unclassified Limosilactobacillus
Unclassified Lactobacillaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Unclassified Lactobacillaceae	s_Unclassified Lactobacillaceae
Unclassified Lactococcus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Lactococcus	s_Unclassified Lactococcus
Streptococcus acidominimus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus acidominimus
Streptococcus agalactiae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus agalactiae
Streptococcus anginosus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus anginosus
Streptococcus australis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus australis
Streptococcus castoreus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus castoreus
